Roll: 0921HS03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,12,12,9.5,12,12,9.5
2,12,12,10.0,24,24,9.75
3,4,4,10.0,28,28,9.785714285714286
