Roll: 1301CE01
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.448979591836735,49,49,7.448979591836735
2,44,44,8.113636363636363,93,93,7.763440860215054
3,44,44,7.886363636363637,137,137,7.802919708029197
4,44,44,7.295454545454546,181,181,7.679558011049724
5,42,42,8.071428571428571,223,223,7.753363228699552
6,47,47,7.8936170212765955,270,270,7.777777777777778
7,40,40,8.45,310,310,7.864516129032258
8,40,40,7.65,350,350,7.84
