Roll: 1101EE17
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,6.775510204081633,49,49,6.775510204081633
2,44,44,6.704545454545454,93,93,6.741935483870968
3,46,46,6.717391304347826,139,139,6.733812949640288
4,46,46,6.1521739130434785,185,185,6.589189189189189
5,45,45,6.333333333333333,230,230,6.539130434782609
6,40,40,5.975,270,270,6.455555555555556
7,45,33,3.7333333333333334,315,303,6.066666666666666
8,38,38,7.578947368421052,353,341,6.229461756373937
