Roll: 0901EE12
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.204081632653061,49,49,7.204081632653061
2,44,44,7.5227272727272725,93,93,7.354838709677419
3,46,46,7.086956521739131,139,139,7.266187050359712
4,46,46,7.282608695652174,185,185,7.27027027027027
5,39,39,6.6923076923076925,224,224,7.169642857142857
6,40,40,6.875,264,264,7.125
7,45,45,7.777777777777778,309,309,7.2200647249190935
8,38,38,6.105263157894737,347,347,7.097982708933718
