Roll: 1301CH06
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.979591836734694,49,49,7.979591836734694
2,44,44,8.818181818181818,93,93,8.376344086021506
3,49,49,7.469387755102041,142,142,8.06338028169014
4,42,42,8.428571428571429,184,184,8.146739130434783
5,52,52,8.788461538461538,236,236,8.288135593220339
6,41,41,8.78048780487805,277,277,8.36101083032491
7,36,36,9.333333333333334,313,313,8.472843450479234
8,46,46,9.478260869565217,359,359,8.6016713091922
