Roll: 1001EE04
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,4.8979591836734695,49,49,4.8979591836734695
2,44,44,5.568181818181818,93,93,5.21505376344086
3,46,46,5.021739130434782,139,139,5.151079136690647
4,46,46,5.586956521739131,185,185,5.2594594594594595
5,39,39,4.846153846153846,224,224,5.1875
6,40,40,4.875,264,264,5.140151515151516
7,45,45,6.355555555555555,309,309,5.31715210355987
8,38,38,6.368421052631579,347,347,5.432276657060519
