Roll: 1321CH04
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,18,18,9.333333333333334,18,18,9.333333333333334
2,10,10,8.8,28,28,9.142857142857142
