Roll: 0901EE34
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.428571428571429,49,49,8.428571428571429
2,44,44,8.681818181818182,93,93,8.548387096774194
3,46,46,8.608695652173912,139,139,8.568345323741006
4,46,46,9.130434782608695,185,185,8.708108108108108
5,39,39,9.076923076923077,224,224,8.772321428571429
6,40,40,7.6,264,264,8.594696969696969
7,45,45,8.733333333333333,309,309,8.614886731391586
8,38,38,6.947368421052632,347,347,8.432276657060518
