Roll: 1201EE14
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.714285714285714,49,49,8.714285714285714
2,44,44,8.25,93,93,8.494623655913978
3,46,46,8.23913043478261,139,139,8.410071942446043
4,46,46,8.434782608695652,185,185,8.416216216216217
5,45,45,8.466666666666667,230,230,8.42608695652174
6,40,40,8.225,270,270,8.396296296296295
7,45,45,8.222222222222221,315,315,8.371428571428572
8,38,38,7.684210526315789,353,353,8.297450424929178
