Roll: 0901EE03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,6.591836734693878,49,49,6.591836734693878
2,44,44,6.409090909090909,93,93,6.505376344086022
3,46,46,5.8478260869565215,139,139,6.287769784172662
4,46,46,5.913043478260869,185,185,6.194594594594594
5,39,39,5.769230769230769,224,224,6.120535714285714
6,40,40,5.15,264,264,5.973484848484849
7,45,45,6.222222222222222,309,309,6.009708737864078
8,38,38,6.2105263157894735,347,347,6.031700288184438
