Roll: 1301EE23
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.6938775510204085,49,49,7.6938775510204085
2,44,44,7.7272727272727275,93,93,7.709677419354839
3,46,46,6.782608695652174,139,139,7.402877697841727
4,46,46,7.6521739130434785,185,185,7.464864864864865
5,39,39,7.6923076923076925,224,224,7.504464285714286
6,40,40,7.125,264,264,7.446969696969697
7,45,45,6.711111111111111,309,309,7.339805825242719
8,40,40,6.7,349,349,7.26647564469914
