Roll: 1211NT09
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,8.6,40,40,8.6
2,40,40,8.15,80,80,8.375
3,50,50,8.0,130,130,8.23076923076923
4,45,45,10.0,175,175,8.685714285714285
