Roll: 1101EE08
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.142857142857142,49,49,8.142857142857142
2,44,44,7.5227272727272725,93,93,7.849462365591398
3,46,46,7.543478260869565,139,139,7.748201438848921
4,46,46,8.065217391304348,185,185,7.827027027027027
5,45,45,8.733333333333333,230,230,8.004347826086956
6,40,40,7.775,270,270,7.970370370370371
7,45,45,8.11111111111111,315,315,7.9904761904761905
8,38,38,8.368421052631579,353,353,8.031161473087819
