Roll: 1301CH07
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.918367346938775,49,49,7.918367346938775
2,44,44,7.386363636363637,93,93,7.666666666666667
3,49,49,8.693877551020408,142,142,8.02112676056338
4,42,42,8.857142857142858,184,184,8.21195652173913
5,46,46,9.369565217391305,230,230,8.443478260869565
6,41,41,8.975609756097562,271,271,8.523985239852399
7,36,36,8.333333333333334,307,307,8.501628664495113
8,46,46,9.478260869565217,353,353,8.628895184135978
