Roll: 1121CH03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,16,16,8.0,16,16,8.0
2,12,12,9.0,28,28,8.428571428571429
3,4,4,8.0,32,32,8.375
