Roll: 1101EE03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.224489795918367,49,49,7.224489795918367
2,44,44,6.704545454545454,93,93,6.978494623655914
3,46,46,7.478260869565218,139,139,7.143884892086331
4,46,46,7.391304347826087,185,185,7.205405405405405
5,45,45,8.266666666666667,230,230,7.413043478260869
6,40,40,8.1,270,270,7.514814814814815
7,45,45,7.177777777777778,315,315,7.466666666666667
8,38,38,7.842105263157895,353,353,7.507082152974505
