Roll: 1301CE13
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.959183673469388,49,49,7.959183673469388
2,44,44,8.113636363636363,93,93,8.03225806451613
3,44,44,8.431818181818182,137,137,8.16058394160584
4,44,44,7.818181818181818,181,181,8.077348066298342
5,36,36,9.583333333333334,217,217,8.327188940092165
6,47,47,8.872340425531915,264,264,8.424242424242424
7,40,40,8.65,304,304,8.453947368421053
8,40,40,9.25,344,344,8.546511627906977
