Roll: 1001EE22
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,9.020408163265307,49,49,9.020408163265307
2,44,44,8.272727272727273,93,93,8.666666666666666
3,46,46,9.369565217391305,139,139,8.899280575539569
4,46,46,9.608695652173912,185,185,9.075675675675676
5,39,39,8.615384615384615,224,224,8.995535714285714
6,40,40,9.125,264,264,9.015151515151516
7,45,45,8.955555555555556,309,309,9.006472491909385
8,38,38,9.210526315789474,347,347,9.028818443804035
