Roll: 1201EE05
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.040816326530612,49,49,8.040816326530612
2,44,44,7.568181818181818,93,93,7.817204301075269
3,46,46,8.456521739130435,139,139,8.028776978417266
4,46,46,8.869565217391305,185,185,8.237837837837837
5,45,45,8.933333333333334,230,230,8.373913043478261
6,40,40,7.775,270,270,8.285185185185185
7,45,45,8.733333333333333,315,315,8.34920634920635
8,38,38,7.894736842105263,353,353,8.30028328611898
