Roll: 1201EE23
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,6.63265306122449,49,49,6.63265306122449
2,44,44,6.068181818181818,93,93,6.365591397849462
3,46,46,6.586956521739131,139,139,6.438848920863309
4,46,46,7.043478260869565,185,185,6.589189189189189
5,45,45,6.733333333333333,230,230,6.6173913043478265
6,40,40,7.0,270,270,6.674074074074074
7,45,45,7.288888888888889,315,315,6.761904761904762
8,38,38,7.315789473684211,353,353,6.8215297450424925
