Roll: 1201EE18
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,6.591836734693878,49,49,6.591836734693878
2,44,44,5.909090909090909,93,93,6.268817204301075
3,46,46,6.6521739130434785,139,139,6.39568345323741
4,46,46,6.3478260869565215,185,185,6.383783783783784
5,45,45,6.533333333333333,230,230,6.413043478260869
6,40,40,5.475,270,270,6.274074074074074
7,45,45,7.444444444444445,315,315,6.4412698412698415
8,38,38,7.2105263157894735,353,353,6.524079320113314
