Roll: 1301CH01
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.673469387755102,49,49,7.673469387755102
2,44,44,7.181818181818182,93,93,7.440860215053763
3,49,49,8.244897959183673,142,142,7.71830985915493
4,42,42,8.857142857142858,184,184,7.978260869565218
5,46,46,8.434782608695652,230,230,8.069565217391304
6,41,41,8.804878048780488,271,271,8.180811808118081
7,36,36,7.166666666666667,307,307,8.061889250814332
8,46,46,8.347826086956522,353,353,8.09915014164306
