Roll: 1221MA06
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,22,22,9.090909090909092,22,22,9.090909090909092
2,12,12,8.0,34,34,8.705882352941176
