Roll: 0901EE26
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.551020408163265,49,49,7.551020408163265
2,44,44,7.295454545454546,93,93,7.43010752688172
3,46,46,7.695652173913044,139,139,7.517985611510792
4,46,46,8.608695652173912,185,185,7.789189189189189
5,39,39,8.384615384615385,224,224,7.892857142857143
6,40,40,8.125,264,264,7.928030303030303
7,45,45,8.71111111111111,309,309,8.042071197411003
8,38,38,9.210526315789474,347,347,8.170028818443804
