Roll: 0921HS01
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,12,12,8.5,12,12,8.5
2,12,12,9.0,24,24,8.75
3,4,4,10.0,28,28,8.928571428571429
