Roll: 1301EE08
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,6.8979591836734695,49,49,6.8979591836734695
2,44,44,6.863636363636363,93,93,6.881720430107527
3,46,46,7.282608695652174,139,139,7.014388489208633
4,46,46,7.3478260869565215,185,185,7.097297297297297
5,39,39,8.076923076923077,224,224,7.267857142857143
6,40,40,7.425,264,264,7.291666666666667
7,45,45,7.377777777777778,309,309,7.3042071197411005
8,40,40,6.75,349,349,7.240687679083095
