Roll: 1101EE28
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.142857142857142,49,49,8.142857142857142
2,44,44,7.886363636363637,93,93,8.021505376344086
3,46,46,7.586956521739131,139,139,7.877697841726619
4,46,46,7.630434782608695,185,185,7.816216216216216
5,45,45,7.666666666666667,230,230,7.78695652173913
6,40,40,7.55,270,270,7.7518518518518515
7,45,45,6.622222222222222,315,315,7.59047619047619
8,38,38,8.052631578947368,353,353,7.640226628895184
