Roll: 1001EE10
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,5.326530612244898,49,49,5.326530612244898
2,44,44,6.318181818181818,93,93,5.795698924731183
3,46,46,5.978260869565218,139,139,5.856115107913669
4,46,46,6.586956521739131,185,185,6.037837837837838
5,39,39,5.769230769230769,224,224,5.991071428571429
6,40,40,5.475,264,264,5.912878787878788
7,45,45,7.155555555555556,309,309,6.093851132686084
8,38,38,7.052631578947368,347,347,6.198847262247838
