Roll: 1001EE07
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,5.918367346938775,49,49,5.918367346938775
2,44,44,5.590909090909091,93,93,5.763440860215054
3,46,46,6.673913043478261,139,139,6.0647482014388485
4,46,46,7.021739130434782,185,185,6.302702702702702
5,39,39,5.769230769230769,224,224,6.209821428571429
6,40,40,5.15,264,264,6.049242424242424
7,45,45,6.377777777777778,309,309,6.097087378640777
8,38,38,6.7368421052631575,347,347,6.1671469740634
