Roll: 1201EE15
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,5.510204081632653,49,49,5.510204081632653
2,44,44,4.863636363636363,93,93,5.204301075268817
3,46,46,5.608695652173913,139,139,5.338129496402877
4,46,46,5.782608695652174,185,185,5.448648648648649
5,45,45,5.866666666666666,230,230,5.530434782608696
6,40,40,5.325,270,270,5.5
7,45,45,6.4222222222222225,315,315,5.631746031746032
8,38,38,6.842105263157895,353,353,5.762039660056657
