Roll: 0801EE10
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,9.040816326530612,49,49,9.040816326530612
2,44,44,8.454545454545455,93,93,8.763440860215054
3,46,46,9.195652173913043,139,139,8.906474820143885
4,46,46,9.434782608695652,185,185,9.037837837837838
5,39,39,9.23076923076923,224,224,9.071428571428571
6,40,40,9.15,264,264,9.083333333333334
7,45,45,9.511111111111111,309,309,9.145631067961165
8,38,38,8.947368421052632,347,347,9.12391930835735
