Roll: 1101EE24
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.36734693877551,49,49,8.36734693877551
2,44,44,7.681818181818182,93,93,8.043010752688172
3,46,46,7.804347826086956,139,139,7.9640287769784175
4,46,46,7.478260869565218,185,185,7.8432432432432435
5,45,45,7.933333333333334,230,230,7.860869565217391
6,40,40,7.95,270,270,7.874074074074074
7,45,45,6.133333333333334,315,315,7.625396825396826
8,38,38,7.7894736842105265,353,353,7.643059490084986
