Roll: 0921HS04
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,12,12,8.5,12,12,8.5
2,12,12,8.5,24,24,8.5
3,4,4,10.0,28,28,8.714285714285714
