Roll: 1211MT02
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,8.65,40,40,8.65
2,40,40,8.7,80,80,8.675
3,50,50,9.8,130,130,9.107692307692307
4,45,45,10.0,175,175,9.337142857142856
