Roll: 1311NT03
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,40,40,7.45,40,40,7.45
2,44,44,8.318181818181818,84,84,7.904761904761905
3,50,50,8.8,134,134,8.238805970149254
4,45,45,10.0,179,179,8.681564245810057
