Roll: 0901EE30
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,8.040816326530612,49,49,8.040816326530612
2,44,44,7.590909090909091,93,93,7.827956989247312
3,46,46,7.217391304347826,139,139,7.625899280575539
4,46,46,8.847826086956522,185,185,7.92972972972973
5,39,39,8.846153846153847,224,224,8.089285714285714
6,40,40,7.275,264,264,7.965909090909091
7,45,45,8.71111111111111,309,309,8.074433656957929
8,38,38,8.631578947368421,347,347,8.135446685878962
