Roll: 0901EE08
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.469387755102041,49,49,7.469387755102041
2,44,44,8.227272727272727,93,93,7.827956989247312
3,46,46,7.695652173913044,139,139,7.784172661870503
4,46,46,7.543478260869565,185,185,7.724324324324324
5,39,39,8.076923076923077,224,224,7.785714285714286
6,40,40,7.125,264,264,7.6856060606060606
7,45,45,8.533333333333333,309,309,7.809061488673139
8,38,38,8.368421052631579,347,347,7.870317002881844
