Roll: 1301CH18
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,5.73469387755102,49,49,5.73469387755102
2,44,44,5.7272727272727275,93,93,5.731182795698925
3,49,49,5.959183673469388,142,142,5.809859154929577
4,42,42,6.0,184,184,5.853260869565218
5,46,46,6.717391304347826,230,230,6.026086956521739
6,41,41,6.317073170731708,271,271,6.070110701107011
7,36,36,6.944444444444445,307,307,6.172638436482084
8,46,46,7.217391304347826,353,353,6.308781869688385
