Roll: 0901EE04
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,49,49,7.428571428571429,49,49,7.428571428571429
2,44,44,8.409090909090908,93,93,7.89247311827957
3,46,46,8.021739130434783,139,139,7.9352517985611515
4,46,46,8.065217391304348,185,185,7.967567567567568
5,39,39,8.461538461538462,224,224,8.053571428571429
6,40,40,8.475,264,264,8.117424242424242
7,45,45,9.0,309,309,8.245954692556634
8,38,38,8.0,347,347,8.219020172910662
